"film_id","film_title","rental_duration","rental_duration_rank"
133,"Chamber Italian",7,"1"
384,"Grosse Wonderful",5,"1"
8,"Airport Pollock",6,"1"
98,"Bright Encounters",4,"1"
1,"Academy Dinosaur",6,"1"
2,"Ace Goldfinger",3,"1"
3,"Adaptation Holes",7,"1"
4,"Affair Prejudice",5,"1"
5,"African Egg",6,"1"
6,"Agent Truman",3,"1"
7,"Airplane Sierra",6,"1"
9,"Alabama Devil",3,"1"
10,"Aladdin Calendar",6,"1"
11,"Alamo Videotape",6,"1"
12,"Alaska Phantom",6,"1"
213,"Date Speed",4,"1"
13,"Ali Forever",4,"1"
14,"Alice Fantasia",6,"1"
15,"Alien Center",5,"1"
16,"Alley Evolution",6,"1"
17,"Alone Trip",3,"1"
18,"Alter Victory",6,"1"
19,"Amadeus Holy",6,"1"
20,"Amelie Hellfighters",4,"1"
21,"American Circus",3,"1"
22,"Amistad Midsummer",6,"1"
23,"Anaconda Confessions",3,"1"
24,"Analyze Hoosiers",6,"1"
25,"Angels Life",3,"1"
26,"Annie Identity",3,"1"
27,"Anonymous Human",7,"1"
28,"Anthem Luke",5,"1"
29,"Antitrust Tomatoes",5,"1"
30,"Anything Savannah",4,"1"
31,"Apache Divine",5,"1"
32,"Apocalypse Flamingos",6,"1"
33,"Apollo Teen",5,"1"
34,"Arabia Dogma",6,"1"
35,"Arachnophobia Rollercoaster",4,"1"
36,"Argonauts Town",7,"1"
37,"Arizona Bang",3,"1"
38,"Ark Ridgemont",6,"1"
39,"Armageddon Lost",5,"1"
40,"Army Flintstones",4,"1"
41,"Arsenic Independence",4,"1"
42,"Artist Coldblooded",5,"1"
265,"Dying Maker",5,"1"
43,"Atlantis Cause",6,"1"
44,"Attacks Hate",5,"1"
45,"Attraction Newton",5,"1"
