"film_id","title","store_id"
696,"Pride Alamo",1
374,"Graffiti Love",2
182,"Control Anthem",1
413,"Hedwig Alter",1
983,"Won Dares",1
623,"Newton Labyrinth",2
902,"Trading Pinocchio",2
228,"Detective Vision",2
275,"Egypt Tenenbaums",2
699,"Private Drop",1
86,"Boogie Amelie",2
725,"Requiem Tycoon",2
20,"Amelie Hellfighters",1
780,"Sensibility Rear",2
611,"Musketeers Wait",1
814,"Snatch Slipper",1
704,"Pure Runner",1
945,"Virginian Pluto",2
572,"Metropolis Coma",2
700,"Prix Undefeated",2
427,"Homeward Cider",1
664,"Patriot Roman",2
853,"Stranger Strangers",1
312,"Fiddler Lost",2
614,"Name Detective",1
