"payment_id","customer_id","staff_id","rental_id","amount","selling_price","payment_date"
17503,341,2,1520,"7.99","9.03","2007-02-15 22:25:46.996577"
17504,341,1,1778,"1.99","2.19","2007-02-16 17:23:14.996577"
17505,341,1,1849,"7.99","9.03","2007-02-16 22:41:45.996577"
17506,341,2,2829,"2.99","3.29","2007-02-19 19:39:56.996577"
17507,341,2,3130,"7.99","9.03","2007-02-20 17:31:48.996577"
17508,341,1,3382,"5.99","6.77","2007-02-21 12:33:49.996577"
17509,342,2,2190,"5.99","6.77","2007-02-17 23:58:17.996577"
17510,342,1,2914,"5.99","6.77","2007-02-20 02:11:44.996577"
17511,342,1,3081,"2.99","3.29","2007-02-20 13:57:39.996577"
17512,343,2,1547,"4.99","5.49","2007-02-16 00:10:50.996577"
17513,343,1,1564,"6.99","7.90","2007-02-16 01:15:33.996577"
17514,343,2,1879,"0.99","1.09","2007-02-17 01:26:00.996577"
17515,343,2,1922,"0.99","1.09","2007-02-17 04:32:51.996577"
17516,343,2,2461,"6.99","7.90","2007-02-18 18:26:38.996577"
17517,343,1,2980,"8.99","10.16","2007-02-20 07:03:29.996577"
17518,343,1,3407,"0.99","1.09","2007-02-21 14:42:28.996577"
17519,344,1,1341,"3.99","4.39","2007-02-15 10:54:44.996577"
17520,344,2,1475,"4.99","5.49","2007-02-15 19:36:27.996577"
17521,344,1,1731,"0.99","1.09","2007-02-16 14:00:38.996577"
17522,345,2,1210,"0.99","1.09","2007-02-15 01:26:17.996577"
17523,345,1,1457,"4.99","5.49","2007-02-15 18:34:15.996577"
17524,345,2,1550,"0.99","1.09","2007-02-16 00:27:01.996577"
17525,345,2,2766,"4.99","5.49","2007-02-19 16:13:41.996577"
17526,346,1,1994,"5.99","6.77","2007-02-17 09:35:32.996577"
17527,346,2,3372,"2.99","3.29","2007-02-21 12:02:45.996577"
17528,346,1,3421,"2.99","3.29","2007-02-21 15:51:24.996577"
17529,347,2,1711,"8.99","10.16","2007-02-16 12:40:18.996577"
17530,347,2,2274,"0.99","1.09","2007-02-18 04:59:41.996577"
17531,347,1,3026,"4.99","5.49","2007-02-20 10:16:26.996577"
17532,347,1,3092,"8.99","10.16","2007-02-20 14:33:08.996577"
17533,347,1,3326,"7.99","9.03","2007-02-21 07:33:16.996577"
17534,348,1,1654,"2.99","3.29","2007-02-16 08:11:14.996577"
17535,348,1,2041,"8.99","10.16","2007-02-17 12:47:26.996577"
17536,348,2,2499,"0.99","1.09","2007-02-18 21:30:02.996577"
17537,349,1,1197,"2.99","3.29","2007-02-15 00:11:12.996577"
17538,349,1,1523,"0.99","1.09","2007-02-15 22:47:06.996577"
17539,349,2,2987,"6.99","7.90","2007-02-20 07:24:16.996577"
17540,349,1,3067,"8.99","10.16","2007-02-20 12:27:47.996577"
17541,350,2,2011,"3.99","4.39","2007-02-17 10:24:35.996577"
17542,350,1,2619,"0.99","1.09","2007-02-19 06:31:38.996577"
17543,350,1,3079,"2.99","3.29","2007-02-20 13:42:06.996577"
17544,350,2,3206,"0.99","1.09","2007-02-20 23:08:05.996577"
17545,351,2,1792,"5.99","6.77","2007-02-16 18:33:16.996577"
17546,351,1,1869,"0.99","1.09","2007-02-17 00:36:26.996577"
17547,351,1,2759,"2.99","3.29","2007-02-19 15:38:50.996577"
17548,352,1,1498,"0.99","1.09","2007-02-15 20:26:26.996577"
17549,352,1,1649,"4.99","5.49","2007-02-16 07:48:59.996577"
17550,352,1,1678,"4.99","5.49","2007-02-16 09:36:54.996577"
17551,352,1,1780,"4.99","5.49","2007-02-16 17:40:11.996577"
17552,352,2,3331,"4.99","5.49","2007-02-21 08:06:19.996577"
17553,353,2,1359,"2.99","3.29","2007-02-15 11:58:56.996577"
17554,353,2,1928,"7.99","9.03","2007-02-17 05:16:57.996577"
17555,353,2,3233,"6.99","7.90","2007-02-21 01:07:57.996577"
17556,354,1,1491,"0.99","1.09","2007-02-15 20:16:44.996577"
17557,354,1,2275,"4.99","5.49","2007-02-18 04:59:55.996577"
17558,354,1,2769,"6.99","7.90","2007-02-19 16:20:40.996577"
17559,354,1,3139,"2.99","3.29","2007-02-20 18:13:11.996577"
17560,355,2,1488,"0.99","1.09","2007-02-15 20:08:20.996577"
17561,355,1,1612,"2.99","3.29","2007-02-16 05:20:31.996577"
17562,356,1,1410,"0.99","1.09","2007-02-15 15:28:12.996577"
17563,356,1,2405,"2.99","3.29","2007-02-18 15:05:04.996577"
17564,356,1,2433,"4.99","5.49","2007-02-18 16:38:43.996577"
17565,357,2,1246,"5.99","6.77","2007-02-15 03:39:45.996577"
17566,357,1,1788,"1.99","2.19","2007-02-16 18:15:44.996577"
17567,357,2,1971,"1.99","2.19","2007-02-17 07:52:25.996577"
17568,357,2,2153,"6.99","7.90","2007-02-17 21:26:30.996577"
17569,358,1,1455,"2.99","3.29","2007-02-15 18:19:32.996577"
17570,358,2,1908,"0.99","1.09","2007-02-17 03:39:02.996577"
17571,358,1,2114,"5.99","6.77","2007-02-17 18:28:51.996577"
17572,358,1,2721,"2.99","3.29","2007-02-19 13:21:50.996577"
17573,358,1,2749,"2.99","3.29","2007-02-19 14:56:01.996577"
17574,358,1,3245,"2.99","3.29","2007-02-21 01:34:37.996577"
17575,359,2,1329,"4.99","5.49","2007-02-15 09:53:32.996577"
17576,359,2,1770,"1.99","2.19","2007-02-16 16:36:21.996577"
17577,359,1,2401,"0.99","1.09","2007-02-18 14:50:29.996577"
17578,359,1,2736,"4.99","5.49","2007-02-19 14:11:46.996577"
17579,360,2,1492,"0.99","1.09","2007-02-15 20:17:01.996577"
17580,360,2,2402,"6.99","7.90","2007-02-18 14:53:11.996577"
17581,360,2,2541,"3.99","4.39","2007-02-19 00:36:36.996577"
